Building,Abbreviation,RoomType,BuildingType,Gender,TimeStamp,BedsAvailable
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Female,2025-02-19T12:00:00Z,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Female,2025-02-19T13:00:00Z,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Female,2025-02-19T15:00:00Z,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-18T09:00:00Z,2
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-18T10:00:00Z,2
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-18T11:00:00Z,2
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-18T12:00:00Z,2
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-18T13:00:00Z,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-18T14:00:00Z,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-18T15:00:00Z,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-18T16:00:00Z,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2025-02-19T10:00:00Z,0
